state,era,use_group,properties,avg_sqft,median_value
UT,1980-99,INDUSTRIAL,9597,22167,1302426
UT,1960-79,INDUSTRIAL,7410,19394,1033255
UT,2000-09,INDUSTRIAL,6468,19903,921748
UT,2010+,INDUSTRIAL,4856,44301,1750803
UT,pre-1960,INDUSTRIAL,2618,15626,674130
VT,unknown,Commercial,14409,6407,
VT,pre-1960,Commercial,8265,5109,
VT,1980-99,Commercial,3794,7365,
VT,1960-79,Commercial,2817,7666,
VT,unknown,INDUSTRIAL,2501,24989,
VT,2000-09,Commercial,1376,9200,
VT,2010+,Commercial,850,14650,
VT,1980-99,INDUSTRIAL,721,18049,
VT,pre-1960,INDUSTRIAL,449,14084,
VT,1960-79,INDUSTRIAL,356,26195,
VT,2000-09,INDUSTRIAL,250,15891,
VT,2010+,INDUSTRIAL,121,16369,
VA,unknown,Commercial,130074,13849,86255
VA,1980-99,Commercial,78119,16536,489452
VA,pre-1960,Commercial,68605,8985,284775
VA,1960-79,Commercial,49541,14321,422986
VA,2000-09,Commercial,36510,16791,750006
VA,2010+,Commercial,15246,23243,1503055
VA,1980-99,INDUSTRIAL,14171,24007,607904
VA,unknown,INDUSTRIAL,13930,15822,64156
VA,1960-79,INDUSTRIAL,8958,25989,650447
VA,pre-1960,INDUSTRIAL,6632,18431,333363
VA,2000-09,INDUSTRIAL,6532,21222,594859
VA,2010+,INDUSTRIAL,2172,60185,2435146
WA,unknown,Commercial,74832,6951,124249
WA,pre-1960,Commercial,68572,6111,457853
WA,1980-99,Commercial,51519,20030,926439
WA,1960-79,Commercial,48216,9312,633929
WA,unknown,INDUSTRIAL,27154,23369,34558
WA,2000-09,Commercial,23874,20201,1239453
WA,1980-99,INDUSTRIAL,15711,27617,1426129
WA,2010+,Commercial,15665,22735,1272561
WA,1960-79,INDUSTRIAL,13366,19622,1050669
WA,pre-1960,INDUSTRIAL,9668,14828,654230
WA,2000-09,INDUSTRIAL,7572,27888,1149612
WA,2010+,INDUSTRIAL,5639,37325,1452114
WV,unknown,Commercial,145780,5775,52864
WV,unknown,INDUSTRIAL,27356,4378,111404
WV,pre-1960,Commercial,9263,4466,86183
WV,1960-79,Commercial,2452,5245,139135
WV,1980-99,Commercial,2158,6238,181938
WV,pre-1960,INDUSTRIAL,1377,8133,119152
WV,1980-99,INDUSTRIAL,600,13365,158218
WV,1960-79,INDUSTRIAL,544,19293,151499
WV,2000-09,Commercial,412,3591,196322
WV,2000-09,INDUSTRIAL,142,25794,210933
